Alaska,Alaska,AK
Arizona,Arizona,AZ
Arkansa,Arkansas,AR
Califor,California,CA
Colo.,Colorado,CO
Conn.,Connecticut,CT
Del.,Delaware,DE
Fla.,Florida,FL
Ga.,Georgia,GA
Hawaii,Hawaii,HI
Idaho,Idaho,ID
Ill.,Illinois,IL
Ind.,Indiana,IN
Iowa,Iowa,IA
Kansas,Kansas,KS
Ky.,Kentucky,KY
La.,Louisiana,LA
Maine,Maine,ME
Md.,Maryland,MD
Mass.,Massachusetts,MA
Mich.,Michigan,MI
Minn.,Minnesota,MN
Miss.,Mississippi,MS
Mo.,Missouri,MO
Mont.,Montana,MT
Neb.,Nebraska,NE
Nev.,Nevada,NV
N.H.,New Hampshire,NH
N.J.,New Jersey,NJ
N.M.,New Mexico,NM
N.Y.,New York,NY
N.C.,North Carolina,NC
N.D.,North Dakota,ND
Ohio,Ohio,OH
Okla.,Oklahoma,OK
Ore.,Oregon,OR
Pa.,Pennsylvania,PA
R.I.,Rhode Island,RI
S.C.,South Carolina,SC
S.D.,South Dakota,SD
Tenn.,Tennessee,TN
Texas,Texas,TX
Utah,Utah,UT
Vt.,Vermont,VT
Va.,Virginia,VA
Wash.,Washington,WA
W.Va.,West Virginia,WV
Wisc.,Wisconsin,WI
Wy.,Wyoming,WY
Alabama,Alabama,AL
D.C.,District of Columbia,DC
